1176,,,,,,,,,,
0,คุณ,,,,,,,,,
1,ทานากะ,,,,,,,,,
2,ไม่,,,,,,,,,
3,ใช่,,,,,,,,,
4,นัก,,,,,,,,,
5,เรียน,,,,,,,,,
6,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1178,,,,,,,,,,
0,พ่อ,,,,,,,,,
1,เป็น,,,,,,,,,
2,อาจารย์,,,,,,teacher.nonK12,,,
3,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1180,,,,,,,,,,
0,โรง,,,,,,,,,
1,เรียน,,,,,,,,,
2,หยุด,,,,,,,,,
3,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1194,,,,,,,,,,
0,โตเกียว,,,,,,,,,
1,อากาศ,,,,,,,,,
2,แจ่มใส,,,,,,,,,
3,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1222,,,,,,,,,,
0,ที่,,,,,,,,,
1,สวน,,,,,,,,,
2,สาธารณะ,,,,,,,,,
3,มี,,,,,,,,,
4,ต้น,,,,,,,,,
5,ไม้,,,,,,,,,
6,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1229,,,,,,,,,,
0,คุณ,,,,,,,,,
1,ทานากะ,,,,,,,,,
2,อยู่,,,,,,,,,
3,ที่,,,,,,,,,
4,ไหน,,,,,,,,,
5,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1233,,,,,,,,,,
0,ไม่,,,,,,,,,
1,มี,,,,,,,,,
2,เงิน,,,,,,,,,
3,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1244,,,,,,,,,,
0,บน,,,,,,,,,
1,โต๊ะ,,,,,,,,,
2,มี,,,,,,,,,
3,หนังสือ,,,,,,,,,
4,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1245,,,,,,,,,,
0,ใต้,,,,,,,,,
1,โต๊ะ,,,,,,,,,
2,มี,,,,,,,,,
3,กระเป๋า,,,,,,,,,
4,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1246,,,,,,,,,,
0,ใน,,,,,,,,,
1,กระเป๋า,,,,,,,,,
2,มี,,,,,,,,,
3,สมุด,,,,,,,,,
4,โน้ต,,,,,,,,,
5,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1247,,,,,,,,,,
0,คุณ,,,,,,,,,
1,ยามาดะ,,,,,,,,,
2,อยู่,,,,,,,,,
3,ที่,,,,,,,,,
4,ข้าง,,,,,,,,,
5,ขวา,,,,,,,,,
6,ของ,,,,,,,,,
7,คุณ,,,,,,,,,
8,ทานากะ,,,,,,,,,
9,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1248,,,,,,,,,,
0,คุณ,,,,,,,,,
1,คิมูระ,,,,,,,,,
2,อยู่,,,,,,,,,
3,ที่,,,,,,,,,
4,ข้าง,,,,,,,,,
5,ซ้าย,,,,,,,,,
6,ของ,,,,,,,,,
7,คุณ,,,,,,,,,
8,ทานากะ,,,,,,,,,
9,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1249,,,,,,,,,,
0,หน้า,,,,,,,,,
1,บ้าน,,,,,,,,,
2,มี,,,,,,,,,
3,แมว,,,,,,,,,
4,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1250,,,,,,,,,,
0,หลัง,,,,,,,,,
1,บ้าน,,,,,,,,,
2,มี,,,,,,,,,
3,รถ,,,,,,,,,
4,ยนต์,,,,,,,,,
5,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1251,,,,,,,,,,
0,ตู้,,,,,,,,,
1,ไปรษณีย์,,,,,,,,,
2,อยู่,,,,,,,,,
3,ฝั่ง,,,,,,,,,
4,ตรง,,,,,,,,,
5,ข้าม,,,,,,,,,
6,บ้าน,,,,,,,,,
7,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1254,,,,,,,,,,
0,คุณ,,,,,,,,,
1,ยามาดะ,,,,,,,,,
2,อยู่,,,,,,,,,
3,นอก,,,,,,,,,
4,ห้อง,,,,,,,,,
5,เรียน,,,,,,,,,
6,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1255,,,,,,,,,,
0,หน้า,,,,,,,,,
1,บ้าน,,,,,,,,,
2,เป็น,,,,,,,,,
3,สวน,,,,,,,,,
4,สาธารณะ,,,,,,,,,
5,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1257,,,,,,,,,,
0,โรง,,,,,,,,,
1,เรียน,,,,,,,,,
2,อยู่,,,,,,,,,
3,ใกล้,,,,,,,,,
4,บ้าน,,,,,,,,,
5,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1258,,,,,,,,,,
0,หนังสือ,,,,,,,,,
1,อยู่,,,,,,,,,
2,ใน,,,,,,,,,
3,กระเป๋า,,,,,,,,,
4,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1259,,,,,,,,,,
0,ปากกา,,,,,,,,,
1,ผม,male,,,,,,,formal,sg
2,ด้าม,,,,,,,,,
3,นี้,,,,,,,,,
4,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1264,,,,,,,,,,
0,ห้อง,,,,,,,,,
1,เรียน,,,,,,,,,
2,ภาษา,,,,,,,,,
3,ญี่ปุ่น,,,,,,,,,
4,อยู่,,,,,,,,,
5,ที่,,,,,,,,,
6,ไหน,,,,,,,,,
7,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1268,,,,,,,,,,
0,นั่น,,,,,,,,,
1,เป็น,,,,,,,,,
2,หนังสือพิมพ์,,,,,,,,,
3,เมื่อไร,,,,,,,,,
4,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1274,,,,,,,,,,
0,ที่,,,,,,,,,
1,ห้อง,,,,,,,,,
2,เรียน,,,,,,,,,
3,มี,,,,,,,,,
4,คอมพิวเตอร์,,,,,,,,,
5,เครื่อง,,,,,,,,,
6,ใหม่,,,,,,,,,
7,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1275,,,,,,,,,,
0,ใน,,,,,,,,,
1,กล่อง,,,,,,,,,
2,มี,,,,,,,,,
3,หมา,,,,,,,,,
4,ตัว,,,,,,,,,
5,เล็ก,,,,,,,,,
6,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1276,,,,,,,,,,
0,คุณ,,,,,,,,,
1,ทานากะ,,,,,,,,,
2,เป็น,,,,,,,,,
3,คน,,,,,,,,,
4,ร่าเริง,,,,,,,,,
5,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1280,,,,,,,,,,
0,เป็น,,,,,,,,,
1,หนัง,,,,,,,,,
2,ยังไง,,,,,,,,,
3,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1281,,,,,,,,,,
0,เป็น,,,,,,,,,
1,หนัง,,,,,,,,,
2,เก่า,,,,,,,,,
3,ของ,,,,,,,,,
4,ญี่ปุ่น,,,,,,,,,
5,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1286,,,,,,,,,,
0,จะ,,,,,,,,,
1,ซื้อ,,,,,,,,,
2,รองเท้า,,,,,,,,,
3,คู่,,,,,,,,,
4,ไหน,,,,,,,,,
5,ครับ,male,,,,,,,,
<EOS>,,,,,,,,,,
1291,,,,,,,,,,
0,พจนานุกรม,,,,,,,,,
