1176
0,Encik,male,,hon,,,,,,
1,Tanaka,,,,,,,,,
2,bukan,,,,,,,,,
3,pelajar,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1178
0,Ayah,,,,,,,,,
1,saya,,,,,,,,,
2,guru,,,,,,teacher.school,,,
3,.,,,,,,,,,
<EOS>
1180
0,Sekolah,,,,,,,,,
1,cuti,,,,,,,,,
2,.,,,,,,,,,
<EOS>
1194
0,Cuaca,,,,,,,,,
1,di,,,,,,,,,
2,Tokyo,,,,,,,,,
3,cerah,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1222
0,Ada,,,,,,,,,
1,pokok,,,,,,,,,
2,di,,,,,,,,,
3,taman,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1229
0,Encik,male,,hon,,,,,,
1,Tanaka,,,,,,,,,
2,ada,,,,,,,,,
3,di,,,,,,,,,
4,mana,,,,,,,,,
5,?,,,,,,,,,
<EOS>
1233
0,Saya,,,,,,,,,
1,tidak,,,,,,,,,
2,ada,,,,,,,,,
3,wang,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1244
0,Ada,,,,,,,,,
1,buku,,,,,,,,,
2,di,,,,,,,,,
3,atas,,,,,,,,,
4,meja,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1245
0,Ada,,,,,,,,,
1,beg,,,,,,,,,
2,di,,,,,,,,,
3,bawah,,,,,,,,,
4,meja,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1246
0,Di,,,,,,,,,
1,dalam,,,,,,,,,
2,beg,,,,,,,,,
3,ada,,,,,,,,,
4,buku nota,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1247
0,Encik,male,,hon,,,,,,
1,Yamada,,,,,,,,,
2,ada,,,,,,,,,
3,di,,,,,,,,,
4,sebelah,,,,,,,,,
5,kanan,,,,,,,,,
6,Encik,male,,hon,,,,,,
7,Tanaka,,,,,,,,,
8,.,,,,,,,,,
<EOS>
1248
0,Cik,female,unmarried,hon,,,,,,
1,Kimura,,,,,,,,,
2,ada,,,,,,,,,
3,di,,,,,,,,,
4,sebelah,,,,,,,,,
5,kiri,,,,,,,,,
6,Encik,male,,hon,,,,,,
7,Tanaka,,,,,,,,,
8,.,,,,,,,,,
<EOS>
1249
0,Ada,,,,,,,,,
1,kucing,,,,,,,,,
2,di,,,,,,,,,
3,depan,,,,,,,,,
4,rumah,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1250
0,Di,,,,,,,,,
1,belakang,,,,,,,,,
2,rumah,,,,,,,,,
3,ada,,,,,,,,,
4,kereta,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1251
0,Peti surat,,,,,,,,,
1,ada,,,,,,,,,
2,di,,,,,,,,,
3,depan,,,,,,,,,
4,rumah,,,,,,,,,
5,saya,,,,,,,,,
6,.,,,,,,,,,
<EOS>
1254
0,Encik,male,,hon,,,,,,
1,Yamada,,,,,,,,,
2,ada,,,,,,,,,
3,di,,,,,,,,,
4,luar,,,,,,,,,
5,bilik darjah,,,,,,,,,
6,.,,,,,,,,,
<EOS>
1255
0,Ada,,,,,,,,,
1,taman,,,,,,,,,
2,di,,,,,,,,,
3,depan,,,,,,,,,
4,rumah,,,,,,,,,
5,saya,,,,,,,,,
6,.,,,,,,,,,
<EOS>
1257
0,Sekolah,,,,,,,,,
1,terletak,,,,,,,,,
2,di,,,,,,,,,
3,kawasan,,,,,,,,,
4,dekat,,,,,,,,,
5,dengan,,,,,,,,,
6,rumah,,,,,,,,,
7,.,,,,,,,,,
<EOS>
1258
0,Buku,,,,,,,,,
1,di,,,,,,,,,
2,dalam,,,,,,,,,
3,beg,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1259
0,Ini,,,,,,,,,
1,pen,,,,,,,,,
2,saya,,,,,neutral,,,,sg
3,.,,,,,,,,,
<EOS>
1264
0,Di,,,,,,,,,
1,mana,,,,,,,,,
2,-kah,,,,,,,,,
3,bilik darjah,,,,,,,,,
4,untuk,,,,,,,,,
5,bahasa,,,,,,,,,
6,Jepun,,,,,,,,,
7,?,,,,,,,,,
<EOS>
1268
0,Itu,,,,,,,,,
1,surat khabar,,,,,,,,,
2,bila,,,,,,,,,
3,?,,,,,,,,,
<EOS>
1274
0,Ada,,,,,,,,,
1,se-,,,,,,,,,
2,buah,,,,,,,,,
3,komputer,,,,,,,,,
4,baru,,,,,,,,,
5,di,,,,,,,,,
6,dalam,,,,,,,,,
7,bilik darjah,,,,,,,,,
8,.,,,,,,,,,
<EOS>
1275
0,Ada,,,,,,,,,
1,anjing,,,,,,,,,
2,kecil,,,,,,,,,
3,di,,,,,,,,,
4,dalam,,,,,,,,,
5,kotak,,,,,,,,,
6,.,,,,,,,,,
<EOS>
1276
0,Encik,male,,hon,,,,,,
1,Tanaka,,,,,,,,,
2,seseorang,,,,,,,,,
3,yang,,,,,,,,,
4,ceria,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1280
0,Filem,,,,,,,,,
1,yang,,,,,,,,,
2,bagaimana,,,,,,,,,
3,?,,,,,,,,,
<EOS>
1281
0,Filem,,,,,,,,,
1,lama,,,,,,,,,
2,Jepun,,,,,,,,,
3,.,,,,,,,,,
<EOS>
1286
0,Awak,,,,,,,,,
1,nak,,,,,,,,,
2,beli,,,,,,,,,
3,kasut,,,,,,,,,
4,yang,,,,,,,,,
5,mana,,,,,,,,,
6,?,,,,,,,,,
<EOS>
1291
0,Itu,,,,,,,,,
1,-lah,,,,,,,,,
2,kamus,,,,,,,,,
3,bahasa,,,,,,,,,
4,Jepun,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1296
0,Beg,,,,,,,,,
1,Puan,female,married,hon,,,,,,
2,Tanaka,,,,,,,,,
3,ada,,,,,,,,,
4,di,,,,,,,,,
5,situ,,,,,,,,,
6,.,,,,,,,,,
<EOS>
1297
0,Ada,,,,,,,,,
1,guru,,,,,,teacher.school,,,
2,di,,,,,,,,,
3,sana,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1299
0,Buku,,,,,,,,,
1,itu,,,,,,,,,
2,saya,,,,,neutral,,,,sg
3,punya,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1302
0,Beg,,,,,,,,,
1,besar,,,,,,,,,
2,itu,,,,,,,,,
3,saya,,,,,neutral,,,,sg
4,punya,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1305
0,Tumpang,,,,,,,,,
1,tanya,,,,,,,,,
2,",",,,,,,,,,
3,tandas,,,,,,,,,
4,ada,,,,,,,,,
5,di,,,,,,,,,
6,mana,,,,,,,,,
7,?,,,,,,,,,
<EOS>
1308
0,Milik,,,,,,,,,
1,siapa,,,,,,,,,
2,-kah,,,,,,,,,
3,beg,,,,,,,,,
4,itu,,,,,,,,,
5,?,,,,,,,,,
<EOS>
1311
0,Itu,,,,,,,,,
1,Encik,male,,hon,,,,,,
2,Tanaka,,,,,,,,,
3,punya,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1312
0,Kereta,,,,,,,,,
1,cikgu,,,,,,teacher.school,,,
2,ada,,,,,,,,,
3,di,,,,,,,,,
4,mana,,,,,,,,,
5,?,,,,,,,,,
<EOS>
1319
0,Ada,,,,,,,,,
1,tujuh,,,,,,,,,
2,potong,,,,,,,,,
3,kek,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1320
0,Berapa,,,,,,,,,
1,-kah,,,,,,,,,
2,harga,,,,,,,,,
3,pen,,,,,,,,,
4,ini,,,,,,,,,
5,?,,,,,,,,,
<EOS>
1322
0,Saya,,,,,,,,,
1,membeli,,,,,,,,,
2,se-,,,,,,,,,
3,puluh,,,,,,,,,
4,keping,,,,,,,,,
5,setem,,,,,,,,,
6,dan,,,,,,,,,
7,tiga,,,,,,,,,
8,keping,,,,,,,,,
9,poskad,,,,,,,,,
10,.,,,,,,,,,
<EOS>
1323
0,Di,,,,,,,,,
1,atas,,,,,,,,,
2,meja,,,,,,,,,
3,guru,,,,,,teacher.school,,,
4,ada,,,,,,,,,
5,dua,,,,,,,,,
6,buah,,,,,,,,,
7,kamus,,,,,,,,,
8,dan,,,,,,,,,
9,se-,,,,,,,,,
10,buah,,,,,,,,,
11,majalah,,,,,,,,,
12,.,,,,,,,,,
