1176
0,Pak,male,,hon,mature,,,,,
1,Tanaka,,,,,,,,,
2,bukan,,,,,,,,,
3,murid,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1178
0,Ayah,,,,,,,,,
1,saya,,,,,,,,,
2,guru,,,,,,teacher.school,,,
3,.,,,,,,,,,
<EOS>
1180
0,Sekolah,,,,,,,,,
1,sedang,,,,,,,,,
2,libur,,,,,,,,,
3,.,,,,,,,,,
<EOS>
1194
0,Tokyo,,,,,,,,,
1,cerah,,,,,,,,,
2,.,,,,,,,,,
<EOS>
1222
0,Di,,,,,,,,,
1,taman,,,,,,,,,
2,ada,,,,,,,,,
3,pohon,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1229
0,Pak,male,,hon,mature,,,,,
1,Tanaka,,,,,,,,,
2,ada,,,,,,,,,
3,di,,,,,,,,,
4,mana,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1233
0,Saya,,,,,,,,,
1,tidak,,,,,,,,,
2,ada,,,,,,,,,
3,uang,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1244
0,Di,,,,,,,,,
1,atas,,,,,,,,,
2,meja,,,,,,,,,
3,ada,,,,,,,,,
4,buku,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1245
0,Di,,,,,,,,,
1,bawah,,,,,,,,,
2,meja,,,,,,,,,
3,ada,,,,,,,,,
4,tas,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1246
0,Di,,,,,,,,,
1,dalam,,,,,,,,,
2,tas,,,,,,,,,
3,ada,,,,,,,,,
4,buku tulis,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1247
0,Di,,,,,,,,,
1,sebelah,,,,,,,,,
2,kanan,,,,,,,,,
3,Pak,male,,hon,mature,,,,,
4,Tanaka,,,,,,,,,
5,ada,,,,,,,,,
6,Pak,male,,hon,mature,,,,,
7,Yamada,,,,,,,,,
8,.,,,,,,,,,
<EOS>
1248
0,Di,,,,,,,,,
1,sebelah,,,,,,,,,
2,kiri,,,,,,,,,
3,Pak,male,,hon,mature,,,,,
4,Tanaka,,,,,,,,,
5,ada,,,,,,,,,
6,Mbak,female,,hon,youth,,,,,
7,Kimura,,,,,,,,,
8,.,,,,,,,,,
<EOS>
1249
0,Di,,,,,,,,,
1,depan,,,,,,,,,
2,rumah,,,,,,,,,
3,ada,,,,,,,,,
4,kucing,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1250
0,Di,,,,,,,,,
1,belakang,,,,,,,,,
2,rumah,,,,,,,,,
3,ada,,,,,,,,,
4,mobil,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1251
0,Pos surat,,,,,,,,,
1,ada,,,,,,,,,
2,di,,,,,,,,,
3,seberang,,,,,,,,,
4,rumah,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1254
0,Pak,male,,hon,mature,,,,,
1,Yamada,,,,,,,,,
2,ada,,,,,,,,,
3,di,,,,,,,,,
4,luar,,,,,,,,,
5,kelas,,,,,,,,,
6,.,,,,,,,,,
<EOS>
1255
0,Di,,,,,,,,,
1,depan,,,,,,,,,
2,rumah,,,,,,,,,
3,ada,,,,,,,,,
4,taman,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1257
0,Sekolah,,,,,,,,,
1,ada,,,,,,,,,
2,di,,,,,,,,,
3,dekat,,,,,,,,,
4,rumah,,,,,,,,,
5,.,,,,,,,,,
