1176,,,,,,,,,,
0,田中,,,,,,,,,
1,さん,,,hon,,,,,,
2,は,,,,,,,,,
3,学生,,,,,,student,,,
4,で,,,,,,,,,
5,は,,,,,,,,,
6,あり,,,,,,,,,
7,ませ,,,,,,,,,
8,ん,,,,,,,,,
9,。,,,,,,,,,
<EOS>,,,,,,,,,,
1178,,,,,,,,,,
0,父,,,,,,,,,
1,は,,,,,,,,,
2,先生,,,,,,teacher,,,
3,です,,,,,,,,,
4,。,,,,,,,,,
<EOS>,,,,,,,,,,
1180,,,,,,,,,,
0,学校,,,,,,,,,
1,は,,,,,,,,,
2,休み,,,,,,,,,
3,です,,,,,,,,,
4,。,,,,,,,,,
<EOS>,,,,,,,,,,
1194,,,,,,,,,,
0,東京,,,,,,,,,
1,は,,,,,,,,,
2,晴れ,,,,,,,,,
3,でし,,,,,,,,,
4,た,,,,,,,,,
5,。,,,,,,,,,
<EOS>,,,,,,,,,,
1222,,,,,,,,,,
0,公園,,,,,,,,,
1,に,,,,,,,,,
2,木,,,,,,,,,
3,が,,,,,,,,,
4,あり,,,,,,,,,
5,ます,,,,,,,,,
6,。,,,,,,,,,
<EOS>,,,,,,,,,,
1229,,,,,,,,,,
0,田中,,,,,,,,,
1,さん,,,hon,,,,,,
2,は,,,,,,,,,
3,どこ,,,,,,,,,
4,に,,,,,,,,,
5,い,,,,,,,,,
6,ます,,,,,,,,,
7,か,,,,,,,,,
8,。,,,,,,,,,
<EOS>,,,,,,,,,,
1233,,,,,,,,,,
0,お金,,,,,,,,,
1,が,,,,,,,,,
2,あり,,,,,,,,,
3,ませ,,,,,,,,,
4,ん,,,,,,,,,
5,。,,,,,,,,,
<EOS>,,,,,,,,,,
1244,,,,,,,,,,
0,机,,,,,,,,,
1,の,,,,,,,,,
2,上,,,,,,,,,
3,に,,,,,,,,,
4,本,,,,,,,,,
5,が,,,,,,,,,
6,あり,,,,,,,,,
7,ます,,,,,,,,,
8,。,,,,,,,,,
<EOS>,,,,,,,,,,
1245,,,,,,,,,,
0,机,,,,,,,,,
1,の,,,,,,,,,
2,下,,,,,,,,,
3,に,,,,,,,,,
4,かばん,,,,,,,,,
5,が,,,,,,,,,
6,あり,,,,,,,,,
7,ます,,,,,,,,,
8,。,,,,,,,,,
<EOS>,,,,,,,,,,
1246,,,,,,,,,,
0,かばん,,,,,,,,,
1,の,,,,,,,,,
2,中,,,,,,,,,
3,に,,,,,,,,,
4,ノート,,,,,,,,,
5,が,,,,,,,,,
6,あり,,,,,,,,,
7,ます,,,,,,,,,
8,。,,,,,,,,,
<EOS>,,,,,,,,,,
1247,,,,,,,,,,
0,田中,,,,,,,,,
1,さん,,,hon,,,,,,
2,の,,,,,,,,,
3,右,,,,,,,,,
4,に,,,,,,,,,
5,山田,,,,,,,,,
6,さん,,,hon,,,,,,
7,が,,,,,,,,,
8,い,,,,,,,,,
9,ます,,,,,,,,,
10,。,,,,,,,,,
<EOS>,,,,,,,,,,
1248,,,,,,,,,,
0,田中,,,,,,,,,
1,さん,,,hon,,,,,,
2,の,,,,,,,,,
3,左,,,,,,,,,
4,に,,,,,,,,,
5,木村,,,,,,,,,
6,さん,,,hon,,,,,,
7,が,,,,,,,,,
8,い,,,,,,,,,
9,ます,,,,,,,,,
10,。,,,,,,,,,
<EOS>,,,,,,,,,,
1249,,,,,,,,,,
0,家,,,,,,,,,
1,の,,,,,,,,,
2,前,,,,,,,,,
3,に,,,,,,,,,
4,猫,,,,,,,,,
5,が,,,,,,,,,
6,い,,,,,,,,,
7,ます,,,,,,,,,
8,。,,,,,,,,,
<EOS>,,,,,,,,,,
1250,,,,,,,,,,
0,家,,,,,,,,,
1,の,,,,,,,,,
2,うしろ,,,,,,,,,
3,に,,,,,,,,,
4,車,,,,,,,,,
5,が,,,,,,,,,
6,あり,,,,,,,,,
7,ます,,,,,,,,,
8,。,,,,,,,,,
<EOS>,,,,,,,,,,
1251,,,,,,,,,,
0,ポスト,,,,,,,,,
1,は,,,,,,,,,
2,家,,,,,,,,,
3,の,,,,,,,,,
4,向かい,,,,,,,,,
5,に,,,,,,,,,
6,あり,,,,,,,,,
7,ます,,,,,,,,,
8,。,,,,,,,,,
<EOS>,,,,,,,,,,
1254,,,,,,,,,,
0,山田,,,,,,,,,
1,さん,,,hon,,,,,,
2,は,,,,,,,,,
3,教室,,,,,,,,,
4,の,,,,,,,,,
5,外,,,,,,,,,
6,に,,,,,,,,,
7,い,,,,,,,,,
8,ます,,,,,,,,,
9,。,,,,,,,,,
<EOS>,,,,,,,,,,
1255,,,,,,,,,,
0,家,,,,,,,,,
1,の,,,,,,,,,
2,前,,,,,,,,,
3,は,,,,,,,,,
4,公園,,,,,,,,,
5,です,,,,,,,,,
6,。,,,,,,,,,
<EOS>,,,,,,,,,,
1257,,,,,,,,,,
0,学校,,,,,,,,,
1,は,,,,,,,,,
2,家,,,,,,,,,
3,の,,,,,,,,,
4,近く,,,,,,,,,
5,です,,,,,,,,,
6,。,,,,,,,,,
<EOS>,,,,,,,,,,
1258,,,,,,,,,,
0,本,,,,,,,,,
1,は,,,,,,,,,
