1176
0,Anh,male,,,elder.sibling,,,,,
1,Tanaka,,,,,,,,,
2,không,,,,,,,,,
3,phải,,,,,,,,,
4,là,,,,,,,,,
5,học sinh,,,,,,,,,
6,.,,,,,,,,,
<EOS>
1178
0,Bố,,,,,,,,,
1,tôi,,,,,,,,,
2,là,,,,,,,,,
3,giáo viên,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1180
0,Trường,,,,,,,,,
1,nghỉ,,,,,,,,,
2,dạy,,,,,,,,,
3,.,,,,,,,,,
<EOS>
1194
0,Tokyo,,,,,,,,,
1,trời,,,,,,,,,
2,nắng,,,,,,,,,
3,.,,,,,,,,,
<EOS>
1222
0,Ở,,,,,,,,,
1,công viên,,,,,,,,,
2,có,,,,,,,,,
3,cây,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1229
0,Anh,male,,,elder.sibling,,,,,
1,Tanaka,,,,,,,,,
2,ở,,,,,,,,,
3,đâu,,,,,,,,,
4,?,,,,,,,,,
<EOS>
1233
0,Tôi,,,,,,,,,
1,không,,,,,,,,,
2,có,,,,,,,,,
3,tiền,,,,,,,,,
4,.,,,,,,,,,
<EOS>
1244
0,Trên,,,,,,,,,
1,bàn,,,,,,,,,
2,có,,,,,,,,,
3,quyển,,,,,,,,,
4,sách,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1245
0,Dưới,,,,,,,,,
1,bàn,,,,,,,,,
2,có,,,,,,,,,
3,cái,,,,,,,,,
4,cặp,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1246
0,Trong,,,,,,,,,
1,cặp,,,,,,,,,
2,có,,,,,,,,,
3,quyển,,,,,,,,,
4,vở,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1247
0,Bên,,,,,,,,,
1,phải,,,,,,,,,
2,anh,male,,,elder.sibling,,,,,
3,Tanaka,,,,,,,,,
4,là,,,,,,,,,
5,anh,male,,,elder.sibling,,,,,
6,Yamada,,,,,,,,,
7,.,,,,,,,,,
<EOS>
1248
0,Bên,,,,,,,,,
1,trái,,,,,,,,,
2,anh,male,,,elder.sibling,,,,,
3,Tanaka,,,,,,,,,
4,là,,,,,,,,,
5,chị,female,,,elder.sibling,,,,,
6,Kimura,,,,,,,,,
7,.,,,,,,,,,
<EOS>
1249
0,Trước,,,,,,,,,
1,nhà,,,,,,,,,
2,có,,,,,,,,,
3,con,,,,,,,,,
4,mèo,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1250
0,Sau,,,,,,,,,
1,nhà,,,,,,,,,
2,có,,,,,,,,,
3,chiếc,,,,,,,,,
4,xe hơi,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1251
0,Thùng thư,,,,,,,,,
1,ở,,,,,,,,,
2,đối diện,,,,,,,,,
3,nhà,,,,,,,,,
4,tôi,,,,,,,,,
5,.,,,,,,,,,
<EOS>
1254
0,Anh,male,,,elder.sibling,,,,,
1,Yamada,,,,,,,,,
2,ở,,,,,,,,,
3,ngoài,,,,,,,,,
